Owner,No Tagkey: Owner($),qlikcloud($),goy($),aio($),jmg($),Peter.Michaud($),bfx($),oup($),Total cost ($)
Owner Total,3976.354659,1625.412244,67.6048112,67.55842023,67.51201275,36.43702705,16.88962024,5.668010793,5863.436805
7/1/2019,125.1392129,36.80587426,1.1136,1.1136,1.1136,0.600042854,0.278400116,0.064516128,166.2288462
7/2/2019,59.01813857,36.02264664,1.1136,1.1136,1.1136,0.60004342,0.278400116,0.064516128,99.32454487
7/3/2019,58.88026108,35.81739535,1.1136,1.1136,1.1136,0.600056335,0.278400116,0.064516128,98.98142901
7/4/2019,58.91113328,36.08568194,1.1136,1.1136,1.1136,0.600017197,0.278400114,0.064516128,99.28054866
7/5/2019,58.93093574,30.32722674,1.1136,1.1136,1.1136,0.600026612,0.278400116,0.064516128,93.54190533
7/6/2019,59.31126167,30.07539993,1.1136,1.1136,1.1136,0.600044407,0.278400116,0.064516128,93.67042226
7/7/2019,59.67733133,30.66344261,1.1136,1.1136,1.1136,0.60001737,0.278400116,0.095430108,94.65542153
7/8/2019,59.72694159,19.81762555,1.1136,1.1136,1.1136,0.600016914,0.278400116,0.096774194,83.86055837
7/9/2019,67.98650975,10.67093371,1.1136,1.1136,1.1136,0.60001785,0.278400114,0.096774194,82.97343562
7/10/2019,69.53100351,10.43429004,1.1136,1.1136,1.1136,0.600022528,0.278400117,0.096774194,84.28129038
7/11/2019,71.78656286,10.13146705,1.1136,1.1136,1.1136,0.600026191,0.278400129,0.096774194,86.23403043
7/12/2019,75.27516423,9.157448975,1.1136,1.1136,1.1136,0.600016772,0.278400116,0.096774194,88.74860429
7/13/2019,68.62128767,9.811757697,1.1136,1.1136,1.1136,0.60003457,0.278400116,0.096774194,82.74905425
7/14/2019,68.93323996,9.868762968,1.1136,1.1136,1.1136,0.600044209,0.278400116,0.096774194,83.11802144
7/15/2019,73.0848353,9.783097456,1.1136,1.1136,1.1136,0.600043958,0.278400114,0.096774194,87.18395103
7/16/2019,76.02041256,10.05667831,1.1136,1.1136,1.1136,0.600017271,0.278400117,0.096774194,90.39308245
7/17/2019,74.66774139,10.0019702,1.1136,1.1136,1.1136,0.600028468,0.278400114,0.096774194,88.98571437
7/18/2019,67.92671108,9.878359938,1.1136,1.1136,1.1136,0.60001701,0.278400116,0.092741936,82.11703008
7/19/2019,70.28354319,9.949796949,1.1136,1.1136,1.1136,0.600017773,0.278400116,0.092741936,84.54529997
7/20/2019,70.3116447,9.630250426,1.1136,1.1136,1.1136,0.600070425,0.278400116,0.096774194,84.25793986
7/21/2019,68.00015559,10.08476763,1.1136,1.1136,1.1136,0.600044165,0.278400114,0.096774194,82.40094169
7/22/2019,74.8434552,9.798441012,1.1136,1.1136,1.1136,0.600016592,0.278400116,0.096774194,88.95788711
